#category	Emean	err_Emean	rho	err_rho	phi	err_phi
absEta_0.000_1.0000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.01540	5.14e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.00900	3.88e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.00548	1.44e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.00755	7.62e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.01180	5.32e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.00491	4.26e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00566	3.27e-04	M_PI_2	M_PI_2
absEta_0.000_1.0000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.00555	4.00e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.00503	1.68e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.02239	9.65e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.01600	4.20e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.01969	1.99e-03	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.01208	5.44e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.01198	1.04e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00700	4.04e-04	M_PI_2	M_PI_2
absEta_1.000_1.4442-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.01226	9.12e-04	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.00581	1.19e-03	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.02250	2.70e-04	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.02122	2.78e-04	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.02380	3.86e-05	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.01512	3.10e-03	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.01376	2.53e-05	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.01394	2.16e-04	M_PI_2	M_PI_2
absEta_1.566_2.0000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.01446	1.32e-03	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_0_39.000	6.6	0.0	0.00157	3.22e-04	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_39_50.00	6.6	0.0	0.01888	2.27e-05	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_50_65.00	6.6	0.0	0.02092	2.74e-04	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.00_0.96-Et_65_14000	6.6	0.0	0.01898	3.08e-03	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_0_39.000	6.6	0.0	0.00027	5.54e-05	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_39_50.00	6.6	0.0	0.00700	1.29e-05	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_50_65.00	6.6	0.0	0.00906	1.40e-04	M_PI_2	M_PI_2
absEta_2.000_2.5000-R9_0.96_10.0-Et_65_14000	6.6	0.0	0.01586	1.45e-05	M_PI_2	M_PI_2
